1,2.45816
2,4.47100
3,5.11027
4,5.64269
5,4.32879
6,5.68548
7,3.28999
8,3.57280
9,2.47173
10,8.18136
11,6.62118
12,4.51406
13,4.01802
14,3.35043
15,2.93065
16,3.23540
17,2.56156
18,3.61839
19,3.20062
20,2.51594
21,2.74542
22,3.72583
23,3.51929
24,3.86061
25,2.82749
26,2.78218
27,2.61567
28,2.51484
29,2.29852
30,2.30373
31,2.37234
32,2.25548
33,2.39606
34,2.63666
35,2.39305
36,2.32712
37,2.28523
38,2.32508
39,2.28561
40,2.61896
41,2.45704
42,2.30067
43,2.23687
44,2.31546
45,2.26324
46,2.17819
47,2.31818
48,2.29051
49,2.49264
50,2.43911
51,2.21027
52,2.17991
53,2.34297
54,2.30197
55,2.23334
56,2.25652
57,2.21898
58,2.20980
59,2.16933
60,2.25985
61,2.26557
62,2.12781
63,2.07981
64,2.22913
65,2.18568
66,2.17137
67,2.12694
68,2.04384
69,2.18402
70,2.28829
71,2.13191
72,2.15090
73,2.19565
74,2.08237
75,1.98665
76,2.18300
77,1.97995
78,2.02731
79,2.14850
80,1.97627
81,2.05501
82,2.19832
83,2.01298
84,2.07493
85,2.05250
86,2.13744
87,2.18155
88,2.10278
89,2.11735
90,2.17003
91,2.10253
92,2.07730
93,2.03527
94,2.00570
95,1.90976
96,2.11267
97,2.12747
98,2.09438
99,1.97690
100,2.02367
101,2.01125
102,2.08274
103,2.07304
104,1.95411
105,2.15873
106,2.05251
107,2.08744
108,2.03287
109,2.09616
110,2.16812
111,2.04078
112,2.06074
113,2.00177
114,1.99246
115,2.22660
116,2.06455
117,2.09642
118,2.06824
119,2.04361
120,2.06726
121,1.99415
122,1.99106
123,2.08886
124,1.95527
125,1.98406
126,2.06329
127,2.02715
128,1.92808
129,1.98360
130,1.93926
131,2.01557
132,2.12130
133,2.01004
134,1.97084
135,2.10287
136,2.01927
137,2.04218
138,1.99059
139,1.89014
140,1.92737
141,1.96992
142,1.97585
143,1.96598
144,2.03689
145,1.92627
146,2.00572
147,2.05390
148,1.97779
149,2.05149
